Rank,Team,NOC,Medal,G,YC,RC
1,Belgium,BEL,Gold,8,0,0
2,Spain,ESP,Silver,9,0,0
3,Netherlands,NED,Bronze,9,0,0
4,Italy,ITA,,5,0,0
5,Norway,NOR,,4,0,0
5,Sweden,SWE,,14,0,0
7,France,FRA,,4,0,0
8,Denmark,DEN,,0,0,0
8,Egypt,EGY,,5,0,0
8,Great Britain,GBR,,1,0,0
8,Greece,GRE,,0,0,0
8,Luxembourg,LUX,,0,0,0
8,Yugoslavia,YUG,,2,0,0
999,Czechoslovakia,TCH,,15,0,0
